2016 Federal Election Senate First Preferences By Polling Place for Division 186 [Event:20499 Phase:FinalResults Generated:2017-05-16T15:44:41 Cycle:1c16bc24-2305-4e98-b136-89dead4ad909 Created:2016-09-05T17:43:14 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
SA,186,Kingston,7092,Christies Beach,W,28419,2,"SIEBERT, Paul",Citizens Electoral Council,0
SA,186,Kingston,7092,Christies Beach,UG,29551,1,"WATERS, Ron",Antipaedophile Party,1
SA,186,Kingston,7092,Christies Beach,UG,29555,2,"COCHRANE, Christopher Mark",Independent,0
SA,186,Kingston,7092,Christies Beach,UG,29594,3,"RICHARDS, Adam",Independent,4
SA,186,Kingston,7092,Christies Beach,UG,28869,4,"ALI, Mohammad",Independent,0
SA,186,Kingston,7092,Christies Beach,UG,29547,5,"SADDLER, Dave",Independent,0
SA,186,Kingston,7092,Christies Beach,UG,28414,6,"DAVEY, Malcolm Lloyd",Independent,0
SA,186,Kingston,7092,Christies Beach,ZZ,0,99,INFORMAL,,107
SA,186,Kingston,7096,Hackham,A,29643,0,A Ticket Votes,Mature Australia,13
SA,186,Kingston,7096,Hackham,A,28433,1,"BOTHE, Darryl",Mature Australia,0
SA,186,Kingston,7096,Hackham,A,28436,2,"DENNY, Lyndal",Mature Australia,0
SA,186,Kingston,7096,Hackham,B,29655,0,B Ticket Votes,Australian Labor Party,727
SA,186,Kingston,7096,Hackham,B,29506,1,"WONG, Penny",Australian Labor Party,21
SA,186,Kingston,7096,Hackham,B,29508,2,"FARRELL, Don",Australian Labor Party,0
SA,186,Kingston,7096,Hackham,B,29510,3,"GALLACHER, Alex",Australian Labor Party,0
SA,186,Kingston,7096,Hackham,B,29511,4,"McEWEN, Anne",Australian Labor Party,1
SA,186,Kingston,7096,Hackham,B,29512,5,"ALLISON, Michael",Australian Labor Party,1
SA,186,Kingston,7096,Hackham,B,29515,6,"GALLACHER, Bronwyn",Australian Labor Party,0
SA,186,Kingston,7096,Hackham,C,29651,0,C Ticket Votes,The Arts Party,2
SA,186,Kingston,7096,Hackham,C,29535,1,"CRAWFORD, Terence Michael",The Arts Party,1
SA,186,Kingston,7096,Hackham,C,29536,2,"SANDERS, Charles Andrew Laurence",The Arts Party,0
SA,186,Kingston,7096,Hackham,D,29652,0,D Ticket Votes,The Greens,80
SA,186,Kingston,7096,Hackham,D,29494,1,"HANSON-YOUNG, Sarah",The Greens,13
SA,186,Kingston,7096,Hackham,D,29495,2,"SIMMS, Robert",The Greens,1
SA,186,Kingston,7096,Hackham,D,29496,3,"MOATE, Jody",The Greens,0
SA,186,Kingston,7096,Hackham,D,29497,4,"DE KOK, Harriet",The Greens,0
SA,186,Kingston,7096,Hackham,E,29660,0,E Ticket Votes,Australian Cyclists Party,2
SA,186,Kingston,7096,Hackham,E,29571,1,"BILSON-THOMPSON, Sundance",Australian Cyclists Party,0
SA,186,Kingston,7096,Hackham,E,29572,2,"HARKER-SMITH, Angus",Australian Cyclists Party,0
SA,186,Kingston,7096,Hackham,F,29653,0,F Ticket Votes,Nick Xenophon Team,329
SA,186,Kingston,7096,Hackham,F,29504,1,"XENOPHON, Nick",Nick Xenophon Team,40
SA,186,Kingston,7096,Hackham,F,29505,2,"GRIFF, Stirling",Nick Xenophon Team,1
SA,186,Kingston,7096,Hackham,F,29507,3,"KAKOSCHKE-MOORE, Skye",Nick Xenophon Team,0
SA,186,Kingston,7096,Hackham,F,29509,4,"STORER, Tim",Nick Xenophon Team,0
SA,186,Kingston,7096,Hackham,G,29662,0,G Ticket Votes,Australian Progressives,2
SA,186,Kingston,7096,Hackham,G,29579,1,"PAZESKI-NIKOLOSKI, Sasha",Australian Progressives,0
SA,186,Kingston,7096,Hackham,G,29581,2,"PRIDDEY, Jaz",Australian Progressives,0
SA,186,Kingston,7096,Hackham,H,29658,0,H Ticket Votes,Liberal,251
SA,186,Kingston,7096,Hackham,H,29578,1,"BIRMINGHAM, Simon",Liberal,4
SA,186,Kingston,7096,Hackham,H,29580,2,"BERNARDI, Cory",Liberal,0
SA,186,Kingston,7096,Hackham,H,29582,3,"RUSTON, Anne",Liberal,0
SA,186,Kingston,7096,Hackham,H,29583,4,"FAWCETT, David",Liberal,0
SA,186,Kingston,7096,Hackham,H,29584,5,"EDWARDS, Sean",Liberal,0
SA,186,Kingston,7096,Hackham,H,29585,6,"LIDDLE, Kerrynne",Liberal,0
SA,186,Kingston,7096,Hackham,I,29654,0,I Ticket Votes,Palmer United Party,4
SA,186,Kingston,7096,Hackham,I,29519,1,"REES, Kristian",Palmer United Party,0
SA,186,Kingston,7096,Hackham,I,29521,2,"FILINGERI, Carlo",Palmer United Party,0
SA,186,Kingston,7096,Hackham,J,29642,0,J Ticket Votes,Australian Motoring Enthusiast Party,10
SA,186,Kingston,7096,Hackham,J,28427,1,"GREEN, Nathan",Australian Motoring Enthusiast Party,1
SA,186,Kingston,7096,Hackham,J,28430,2,"KUERSCHNER, Judith",Australian Motoring Enthusiast Party,0
SA,186,Kingston,7096,Hackham,K,29650,0,K Ticket Votes,Liberal Democrats,12
SA,186,Kingston,7096,Hackham,K,29500,1,"SADRI, Roostam",Liberal Democrats,0
SA,186,Kingston,7096,Hackham,K,29502,2,"NOACK, Michael",Liberal Democrats,1
SA,186,Kingston,7096,Hackham,L,29657,0,L Ticket Votes,VOTEFLUX.ORG | Upgrade Democracy!,4
SA,186,Kingston,7096,Hackham,L,29526,1,"BIRD, Adam Anthony",VOTEFLUX.ORG | Upgrade Democracy!,1
SA,186,Kingston,7096,Hackham,L,29530,2,"BAKER, Jeff",VOTEFLUX.ORG | Upgrade Democracy!,0
SA,186,Kingston,7096,Hackham,M,29647,0,M Ticket Votes,Christian Democratic Party (Fred Nile Group),6
SA,186,Kingston,7096,Hackham,M,28859,1,"ATTIA, Matt",Christian Democratic Party (Fred Nile Group),1
SA,186,Kingston,7096,Hackham,M,28860,2,"STEPHEN, Joseph Kelton",Christian Democratic Party (Fred Nile Group),2
SA,186,Kingston,7096,Hackham,N,29645,0,N Ticket Votes,Family First,63
SA,186,Kingston,7096,Hackham,N,28842,1,"DAY, Bob",Family First,9
SA,186,Kingston,7096,Hackham,N,28845,2,"GICHUHI, Lucy",Family First,0
SA,186,Kingston,7096,Hackham,O,29646,0,O Ticket Votes,Pauline Hanson's One Nation,78
SA,186,Kingston,7096,Hackham,O,28851,1,"BURGESS, Steven David",Pauline Hanson's One Nation,8
SA,186,Kingston,7096,Hackham,O,28853,2,"NICOLIS, Angelina",Pauline Hanson's One Nation,2
SA,186,Kingston,7096,Hackham,P,29644,0,P Ticket Votes,Marriage Equality,7
SA,186,Kingston,7096,Hackham,P,29586,1,"TUAZON-McCHEYNE, Adrian",Marriage Equality,2
SA,186,Kingston,7096,Hackham,P,29588,2,"BOND, Alex",Marriage Equality,2
SA,186,Kingston,7096,Hackham,Q,29649,0,Q Ticket Votes,"Shooters, Fishers and Farmers",11
SA,186,Kingston,7096,Hackham,Q,28866,1,"HAHN, John","Shooters, Fishers and Farmers",1
SA,186,Kingston,7096,Hackham,Q,28868,2,"CARTER, Nick","Shooters, Fishers and Farmers",0
SA,186,Kingston,7096,Hackham,R,29656,0,R Ticket Votes,Marijuana (HEMP) Party/Australian Sex Party,48
SA,186,Kingston,7096,Hackham,R,29553,1,"PARKER, Ryan Douglas",Marijuana (HEMP) Party,3
SA,186,Kingston,7096,Hackham,R,29556,2,"SAUNDERS, Margaret",Australian Sex Party,0
SA,186,Kingston,7096,Hackham,S,29648,0,S Ticket Votes,Australian Liberty Alliance,5
SA,186,Kingston,7096,Hackham,S,28861,1,"MARSH, Wanda Lee",Australian Liberty Alliance,5
SA,186,Kingston,7096,Hackham,S,28862,2,"HORWOOD, Andrew",Australian Liberty Alliance,0
SA,186,Kingston,7096,Hackham,T,29661,0,T Ticket Votes,Derryn Hinch's Justice Party,6
SA,186,Kingston,7096,Hackham,T,29592,1,"GROSSER, Lynn-Marie",Derryn Hinch's Justice Party,1
SA,186,Kingston,7096,Hackham,T,29593,2,"THOMAS, Colin",Derryn Hinch's Justice Party,0
SA,186,Kingston,7096,Hackham,U,29641,0,U Ticket Votes,Animal Justice Party,14
SA,186,Kingston,7096,Hackham,U,28421,1,"NOBLE, Tania",Animal Justice Party,1
SA,186,Kingston,7096,Hackham,U,28423,2,"BREAGAN, Emma",Animal Justice Party,0
SA,186,Kingston,7096,Hackham,V,29659,0,V Ticket Votes,Voluntary Euthanasia Party,8
SA,186,Kingston,7096,Hackham,V,29561,1,"KNIGHT, Jessica",Voluntary Euthanasia Party,0
SA,186,Kingston,7096,Hackham,V,29565,2,"BUCKLEY, Kym",Voluntary Euthanasia Party,0
SA,186,Kingston,7096,Hackham,W,29640,0,W Ticket Votes,Citizens Electoral Council,2
SA,186,Kingston,7096,Hackham,W,28418,1,"KOZLOW, Alex",Citizens Electoral Council,0
SA,186,Kingston,7096,Hackham,W,28419,2,"SIEBERT, Paul",Citizens Electoral Council,0
SA,186,Kingston,7096,Hackham,UG,29551,1,"WATERS, Ron",Antipaedophile Party,2
SA,186,Kingston,7096,Hackham,UG,29555,2,"COCHRANE, Christopher Mark",Independent,2
SA,186,Kingston,7096,Hackham,UG,29594,3,"RICHARDS, Adam",Independent,1
SA,186,Kingston,7096,Hackham,UG,28869,4,"ALI, Mohammad",Independent,0
SA,186,Kingston,7096,Hackham,UG,29547,5,"SADDLER, Dave",Independent,0
SA,186,Kingston,7096,Hackham,UG,28414,6,"DAVEY, Malcolm Lloyd",Independent,0
SA,186,Kingston,7096,Hackham,ZZ,0,99,INFORMAL,,110
SA,186,Kingston,7097,Hackham East,A,29643,0,A Ticket Votes,Mature Australia,10
SA,186,Kingston,7097,Hackham East,A,28433,1,"BOTHE, Darryl",Mature Australia,0
SA,186,Kingston,7097,Hackham East,A,28436,2,"DENNY, Lyndal",Mature Australia,0
SA,186,Kingston,7097,Hackham East,B,29655,0,B Ticket Votes,Australian Labor Party,1136
SA,186,Kingston,7097,Hackham East,B,29506,1,"WONG, Penny",Australian Labor Party,45
SA,186,Kingston,7097,Hackham East,B,29508,2,"FARRELL, Don",Australian Labor Party,2
SA,186,Kingston,7097,Hackham East,B,29510,3,"GALLACHER, Alex",Australian Labor Party,0
SA,186,Kingston,7097,Hackham East,B,29511,4,"McEWEN, Anne",Australian Labor Party,2
SA,186,Kingston,7097,Hackham East,B,29512,5,"ALLISON, Michael",Australian Labor Party,2
SA,186,Kingston,7097,Hackham East,B,29515,6,"GALLACHER, Bronwyn",Australian Labor Party,0
SA,186,Kingston,7097,Hackham East,C,29651,0,C Ticket Votes,The Arts Party,5
SA,186,Kingston,7097,Hackham East,C,29535,1,"CRAWFORD, Terence Michael",The Arts Party,0
SA,186,Kingston,7097,Hackham East,C,29536,2,"SANDERS, Charles Andrew Laurence",The Arts Party,1
SA,186,Kingston,7097,Hackham East,D,29652,0,D Ticket Votes,The Greens,133
SA,186,Kingston,7097,Hackham East,D,29494,1,"HANSON-YOUNG, Sarah",The Greens,10
SA,186,Kingston,7097,Hackham East,D,29495,2,"SIMMS, Robert",The Greens,4
SA,186,Kingston,7097,Hackham East,D,29496,3,"MOATE, Jody",The Greens,0
SA,186,Kingston,7097,Hackham East,D,29497,4,"DE KOK, Harriet",The Greens,0
SA,186,Kingston,7097,Hackham East,E,29660,0,E Ticket Votes,Australian Cyclists Party,1
SA,186,Kingston,7097,Hackham East,E,29571,1,"BILSON-THOMPSON, Sundance",Australian Cyclists Party,0
SA,186,Kingston,7097,Hackham East,E,29572,2,"HARKER-SMITH, Angus",Australian Cyclists Party,0
SA,186,Kingston,7097,Hackham East,F,29653,0,F Ticket Votes,Nick Xenophon Team,691
SA,186,Kingston,7097,Hackham East,F,29504,1,"XENOPHON, Nick",Nick Xenophon Team,42
SA,186,Kingston,7097,Hackham East,F,29505,2,"GRIFF, Stirling",Nick Xenophon Team,1
SA,186,Kingston,7097,Hackham East,F,29507,3,"KAKOSCHKE-MOORE, Skye",Nick Xenophon Team,0
SA,186,Kingston,7097,Hackham East,F,29509,4,"STORER, Tim",Nick Xenophon Team,2
SA,186,Kingston,7097,Hackham East,G,29662,0,G Ticket Votes,Australian Progressives,0
SA,186,Kingston,7097,Hackham East,G,29579,1,"PAZESKI-NIKOLOSKI, Sasha",Australian Progressives,0
SA,186,Kingston,7097,Hackham East,G,29581,2,"PRIDDEY, Jaz",Australian Progressives,0
SA,186,Kingston,7097,Hackham East,H,29658,0,H Ticket Votes,Liberal,652
SA,186,Kingston,7097,Hackham East,H,29578,1,"BIRMINGHAM, Simon",Liberal,14
SA,186,Kingston,7097,Hackham East,H,29580,2,"BERNARDI, Cory",Liberal,1
SA,186,Kingston,7097,Hackham East,H,29582,3,"RUSTON, Anne",Liberal,1
SA,186,Kingston,7097,Hackham East,H,29583,4,"FAWCETT, David",Liberal,2
SA,186,Kingston,7097,Hackham East,H,29584,5,"EDWARDS, Sean",Liberal,1
SA,186,Kingston,7097,Hackham East,H,29585,6,"LIDDLE, Kerrynne",Liberal,2
SA,186,Kingston,7097,Hackham East,I,29654,0,I Ticket Votes,Palmer United Party,1
SA,186,Kingston,7097,Hackham East,I,29519,1,"REES, Kristian",Palmer United Party,0
SA,186,Kingston,7097,Hackham East,I,29521,2,"FILINGERI, Carlo",Palmer United Party,0
SA,186,Kingston,7097,Hackham East,J,29642,0,J Ticket Votes,Australian Motoring Enthusiast Party,35
SA,186,Kingston,7097,Hackham East,J,28427,1,"GREEN, Nathan",Australian Motoring Enthusiast Party,4
SA,186,Kingston,7097,Hackham East,J,28430,2,"KUERSCHNER, Judith",Australian Motoring Enthusiast Party,0
SA,186,Kingston,7097,Hackham East,K,29650,0,K Ticket Votes,Liberal Democrats,19
SA,186,Kingston,7097,Hackham East,K,29500,1,"SADRI, Roostam",Liberal Democrats,1
SA,186,Kingston,7097,Hackham East,K,29502,2,"NOACK, Michael",Liberal Democrats,0
SA,186,Kingston,7097,Hackham East,L,29657,0,L Ticket Votes,VOTEFLUX.ORG | Upgrade Democracy!,1
SA,186,Kingston,7097,Hackham East,L,29526,1,"BIRD, Adam Anthony",VOTEFLUX.ORG | Upgrade Democracy!,3
SA,186,Kingston,7097,Hackham East,L,29530,2,"BAKER, Jeff",VOTEFLUX.ORG | Upgrade Democracy!,0
SA,186,Kingston,7097,Hackham East,M,29647,0,M Ticket Votes,Christian Democratic Party (Fred Nile Group),13
SA,186,Kingston,7097,Hackham East,M,28859,1,"ATTIA, Matt",Christian Democratic Party (Fred Nile Group),0
SA,186,Kingston,7097,Hackham East,M,28860,2,"STEPHEN, Joseph Kelton",Christian Democratic Party (Fred Nile Group),0
SA,186,Kingston,7097,Hackham East,N,29645,0,N Ticket Votes,Family First,105
SA,186,Kingston,7097,Hackham East,N,28842,1,"DAY, Bob",Family First,31
SA,186,Kingston,7097,Hackham East,N,28845,2,"GICHUHI, Lucy",Family First,0
SA,186,Kingston,7097,Hackham East,O,29646,0,O Ticket Votes,Pauline Hanson's One Nation,127
SA,186,Kingston,7097,Hackham East,O,28851,1,"BURGESS, Steven David",Pauline Hanson's One Nation,4
SA,186,Kingston,7097,Hackham East,O,28853,2,"NICOLIS, Angelina",Pauline Hanson's One Nation,0
SA,186,Kingston,7097,Hackham East,P,29644,0,P Ticket Votes,Marriage Equality,16
SA,186,Kingston,7097,Hackham East,P,29586,1,"TUAZON-McCHEYNE, Adrian",Marriage Equality,0
SA,186,Kingston,7097,Hackham East,P,29588,2,"BOND, Alex",Marriage Equality,0
SA,186,Kingston,7097,Hackham East,Q,29649,0,Q Ticket Votes,"Shooters, Fishers and Farmers",27
SA,186,Kingston,7097,Hackham East,Q,28866,1,"HAHN, John","Shooters, Fishers and Farmers",1
SA,186,Kingston,7097,Hackham East,Q,28868,2,"CARTER, Nick","Shooters, Fishers and Farmers",0
SA,186,Kingston,7097,Hackham East,R,29656,0,R Ticket Votes,Marijuana (HEMP) Party/Australian Sex Party,43
SA,186,Kingston,7097,Hackham East,R,29553,1,"PARKER, Ryan Douglas",Marijuana (HEMP) Party,4
SA,186,Kingston,7097,Hackham East,R,29556,2,"SAUNDERS, Margaret",Australian Sex Party,0
SA,186,Kingston,7097,Hackham East,S,29648,0,S Ticket Votes,Australian Liberty Alliance,13
SA,186,Kingston,7097,Hackham East,S,28861,1,"MARSH, Wanda Lee",Australian Liberty Alliance,1
SA,186,Kingston,7097,Hackham East,S,28862,2,"HORWOOD, Andrew",Australian Liberty Alliance,0
SA,186,Kingston,7097,Hackham East,T,29661,0,T Ticket Votes,Derryn Hinch's Justice Party,6
SA,186,Kingston,7097,Hackham East,T,29592,1,"GROSSER, Lynn-Marie",Derryn Hinch's Justice Party,3
SA,186,Kingston,7097,Hackham East,T,29593,2,"THOMAS, Colin",Derryn Hinch's Justice Party,0
SA,186,Kingston,7097,Hackham East,U,29641,0,U Ticket Votes,Animal Justice Party,35
SA,186,Kingston,7097,Hackham East,U,28421,1,"NOBLE, Tania",Animal Justice Party,1
SA,186,Kingston,7097,Hackham East,U,28423,2,"BREAGAN, Emma",Animal Justice Party,0
SA,186,Kingston,7097,Hackham East,V,29659,0,V Ticket Votes,Voluntary Euthanasia Party,4
SA,186,Kingston,7097,Hackham East,V,29561,1,"KNIGHT, Jessica",Voluntary Euthanasia Party,0
SA,186,Kingston,7097,Hackham East,V,29565,2,"BUCKLEY, Kym",Voluntary Euthanasia Party,0
SA,186,Kingston,7097,Hackham East,W,29640,0,W Ticket Votes,Citizens Electoral Council,2
SA,186,Kingston,7097,Hackham East,W,28418,1,"KOZLOW, Alex",Citizens Electoral Council,0
SA,186,Kingston,7097,Hackham East,W,28419,2,"SIEBERT, Paul",Citizens Electoral Council,0
SA,186,Kingston,7097,Hackham East,UG,29551,1,"WATERS, Ron",Antipaedophile Party,0
SA,186,Kingston,7097,Hackham East,UG,29555,2,"COCHRANE, Christopher Mark",Independent,0
SA,186,Kingston,7097,Hackham East,UG,29594,3,"RICHARDS, Adam",Independent,0
SA,186,Kingston,7097,Hackham East,UG,28869,4,"ALI, Mohammad",Independent,0
SA,186,Kingston,7097,Hackham East,UG,29547,5,"SADDLER, Dave",Independent,0
SA,186,Kingston,7097,Hackham East,UG,28414,6,"DAVEY, Malcolm Lloyd",Independent,0
SA,186,Kingston,7097,Hackham East,ZZ,0,99,INFORMAL,,122
SA,186,Kingston,7098,Hackham South,A,29643,0,A Ticket Votes,Mature Australia,7
SA,186,Kingston,7098,Hackham South,A,28433,1,"BOTHE, Darryl",Mature Australia,0
SA,186,Kingston,7098,Hackham South,A,28436,2,"DENNY, Lyndal",Mature Australia,0
SA,186,Kingston,7098,Hackham South,B,29655,0,B Ticket Votes,Australian Labor Party,617
SA,186,Kingston,7098,Hackham South,B,29506,1,"WONG, Penny",Australian Labor Party,17
SA,186,Kingston,7098,Hackham South,B,29508,2,"FARRELL, Don",Australian Labor Party,1
SA,186,Kingston,7098,Hackham South,B,29510,3,"GALLACHER, Alex",Australian Labor Party,0
SA,186,Kingston,7098,Hackham South,B,29511,4,"McEWEN, Anne",Australian Labor Party,0
SA,186,Kingston,7098,Hackham South,B,29512,5,"ALLISON, Michael",Australian Labor Party,1
SA,186,Kingston,7098,Hackham South,B,29515,6,"GALLACHER, Bronwyn",Australian Labor Party,0
SA,186,Kingston,7098,Hackham South,C,29651,0,C Ticket Votes,The Arts Party,3
SA,186,Kingston,7098,Hackham South,C,29535,1,"CRAWFORD, Terence Michael",The Arts Party,2
SA,186,Kingston,7098,Hackham South,C,29536,2,"SANDERS, Charles Andrew Laurence",The Arts Party,0
SA,186,Kingston,7098,Hackham South,D,29652,0,D Ticket Votes,The Greens,57
SA,186,Kingston,7098,Hackham South,D,29494,1,"HANSON-YOUNG, Sarah",The Greens,8
SA,186,Kingston,7098,Hackham South,D,29495,2,"SIMMS, Robert",The Greens,1
SA,186,Kingston,7098,Hackham South,D,29496,3,"MOATE, Jody",The Greens,1
SA,186,Kingston,7098,Hackham South,D,29497,4,"DE KOK, Harriet",The Greens,1
SA,186,Kingston,7098,Hackham South,E,29660,0,E Ticket Votes,Australian Cyclists Party,1
SA,186,Kingston,7098,Hackham South,E,29571,1,"BILSON-THOMPSON, Sundance",Australian Cyclists Party,0
SA,186,Kingston,7098,Hackham South,E,29572,2,"HARKER-SMITH, Angus",Australian Cyclists Party,0
SA,186,Kingston,7098,Hackham South,F,29653,0,F Ticket Votes,Nick Xenophon Team,253
SA,186,Kingston,7098,Hackham South,F,29504,1,"XENOPHON, Nick",Nick Xenophon Team,27
SA,186,Kingston,7098,Hackham South,F,29505,2,"GRIFF, Stirling",Nick Xenophon Team,0
SA,186,Kingston,7098,Hackham South,F,29507,3,"KAKOSCHKE-MOORE, Skye",Nick Xenophon Team,0
SA,186,Kingston,7098,Hackham South,F,29509,4,"STORER, Tim",Nick Xenophon Team,0
SA,186,Kingston,7098,Hackham South,G,29662,0,G Ticket Votes,Australian Progressives,0
SA,186,Kingston,7098,Hackham South,G,29579,1,"PAZESKI-NIKOLOSKI, Sasha",Australian Progressives,0
SA,186,Kingston,7098,Hackham South,G,29581,2,"PRIDDEY, Jaz",Australian Progressives,0
SA,186,Kingston,7098,Hackham South,H,29658,0,H Ticket Votes,Liberal,254
SA,186,Kingston,7098,Hackham South,H,29578,1,"BIRMINGHAM, Simon",Liberal,6
SA,186,Kingston,7098,Hackham South,H,29580,2,"BERNARDI, Cory",Liberal,0
SA,186,Kingston,7098,Hackham South,H,29582,3,"RUSTON, Anne",Liberal,3
SA,186,Kingston,7098,Hackham South,H,29583,4,"FAWCETT, David",Liberal,0
SA,186,Kingston,7098,Hackham South,H,29584,5,"EDWARDS, Sean",Liberal,0
SA,186,Kingston,7098,Hackham South,H,29585,6,"LIDDLE, Kerrynne",Liberal,0
SA,186,Kingston,7098,Hackham South,I,29654,0,I Ticket Votes,Palmer United Party,1
SA,186,Kingston,7098,Hackham South,I,29519,1,"REES, Kristian",Palmer United Party,0
SA,186,Kingston,7098,Hackham South,I,29521,2,"FILINGERI, Carlo",Palmer United Party,0
SA,186,Kingston,7098,Hackham South,J,29642,0,J Ticket Votes,Australian Motoring Enthusiast Party,11
SA,186,Kingston,7098,Hackham South,J,28427,1,"GREEN, Nathan",Australian Motoring Enthusiast Party,1
SA,186,Kingston,7098,Hackham South,J,28430,2,"KUERSCHNER, Judith",Australian Motoring Enthusiast Party,0
SA,186,Kingston,7098,Hackham South,K,29650,0,K Ticket Votes,Liberal Democrats,7
SA,186,Kingston,7098,Hackham South,K,29500,1,"SADRI, Roostam",Liberal Democrats,0
SA,186,Kingston,7098,Hackham South,K,29502,2,"NOACK, Michael",Liberal Democrats,0
SA,186,Kingston,7098,Hackham South,L,29657,0,L Ticket Votes,VOTEFLUX.ORG | Upgrade Democracy!,0
SA,186,Kingston,7098,Hackham South,L,29526,1,"BIRD, Adam Anthony",VOTEFLUX.ORG | Upgrade Democracy!,0
SA,186,Kingston,7098,Hackham South,L,29530,2,"BAKER, Jeff",VOTEFLUX.ORG | Upgrade Democracy!,0
SA,186,Kingston,7098,Hackham South,M,29647,0,M Ticket Votes,Christian Democratic Party (Fred Nile Group),1
SA,186,Kingston,7098,Hackham South,M,28859,1,"ATTIA, Matt",Christian Democratic Party (Fred Nile Group),0
SA,186,Kingston,7098,Hackham South,M,28860,2,"STEPHEN, Joseph Kelton",Christian Democratic Party (Fred Nile Group),0
SA,186,Kingston,7098,Hackham South,N,29645,0,N Ticket Votes,Family First,60
SA,186,Kingston,7098,Hackham South,N,28842,1,"DAY, Bob",Family First,8
SA,186,Kingston,7098,Hackham South,N,28845,2,"GICHUHI, Lucy",Family First,1
SA,186,Kingston,7098,Hackham South,O,29646,0,O Ticket Votes,Pauline Hanson's One Nation,46
SA,186,Kingston,7098,Hackham South,O,28851,1,"BURGESS, Steven David",Pauline Hanson's One Nation,6
SA,186,Kingston,7098,Hackham South,O,28853,2,"NICOLIS, Angelina",Pauline Hanson's One Nation,0
SA,186,Kingston,7098,Hackham South,P,29644,0,P Ticket Votes,Marriage Equality,10
SA,186,Kingston,7098,Hackham South,P,29586,1,"TUAZON-McCHEYNE, Adrian",Marriage Equality,0
SA,186,Kingston,7098,Hackham South,P,29588,2,"BOND, Alex",Marriage Equality,0
SA,186,Kingston,7098,Hackham South,Q,29649,0,Q Ticket Votes,"Shooters, Fishers and Farmers",15
SA,186,Kingston,7098,Hackham South,Q,28866,1,"HAHN, John","Shooters, Fishers and Farmers",2
SA,186,Kingston,7098,Hackham South,Q,28868,2,"CARTER, Nick","Shooters, Fishers and Farmers",0
SA,186,Kingston,7098,Hackham South,R,29656,0,R Ticket Votes,Marijuana (HEMP) Party/Australian Sex Party,22
SA,186,Kingston,7098,Hackham South,R,29553,1,"PARKER, Ryan Douglas",Marijuana (HEMP) Party,2
SA,186,Kingston,7098,Hackham South,R,29556,2,"SAUNDERS, Margaret",Australian Sex Party,2
SA,186,Kingston,7098,Hackham South,S,29648,0,S Ticket Votes,Australian Liberty Alliance,6
SA,186,Kingston,7098,Hackham South,S,28861,1,"MARSH, Wanda Lee",Australian Liberty Alliance,0
SA,186,Kingston,7098,Hackham South,S,28862,2,"HORWOOD, Andrew",Australian Liberty Alliance,0
SA,186,Kingston,7098,Hackham South,T,29661,0,T Ticket Votes,Derryn Hinch's Justice Party,3
SA,186,Kingston,7098,Hackham South,T,29592,1,"GROSSER, Lynn-Marie",Derryn Hinch's Justice Party,2
SA,186,Kingston,7098,Hackham South,T,29593,2,"THOMAS, Colin",Derryn Hinch's Justice Party,0
